gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000175602,0.317829457364341,0.666666666666667,0.0155038759689923,109.68,24.18,0.701730863528846,0.00972186138198139,3.27515774414255e-05,0.889701079831395
ENSG00000215375,0.263565891472868,0.666666666666667,0.0697674418604651,56.67,26.06,0.792509303849266,0.00972186138198139,0.109773751259441,0.875038633008379
ENSG00000235169,0.124031007751938,0.666666666666667,0.209302325581395,65.87,15.08,0.93942988950034,0.00972186138198139,0.0438658387721004,0.943526106205977
ENSG00000258839,0.248062015503876,0.666666666666667,0.0852713178294574,58.76,36.92,0.815089433846208,0.00972186138198139,0.0906570465784509,0.764465753507316
ENSG00000275183,0.0775193798449612,0.666666666666667,0.255813953488372,69.91,6.19,0.963669504975046,0.00972186138198139,0.0275452933576507,0.973621970218598
ENSG00000011638,0.317829457364341,0.658914728682171,0.0232558139534884,74.17,28.74,0.701730863528846,0.0111732907088036,0.0161649356584264,0.851866783860028
ENSG00000078902,0.24031007751938,0.658914728682171,0.10077519379845,68.83,29.67,0.825783546079004,0.0111732907088036,0.0313126729745911,0.843192988519294
ENSG00000084764,0.294573643410853,0.658914728682171,0.0465116279069767,45.85,42.29,0.742754128845431,0.0111732907088036,0.253505325653015,0.694349930887225
ENSG00000085741,0.217054263565891,0.658914728682171,0.124031007751938,88.25,23.92,0.85545219620235,0.0111732907088036,0.0020230782784596,0.891627491009689
ENSG00000105472,0.209302325581395,0.658914728682171,0.131782945736434,69.05,18.66,0.864536982691758,0.0111732907088036,0.0305124834016112,0.925546021545994
ENSG00000107968,0.27906976744186,0.658914728682171,0.062015503875969,90.79,35.15,0.768376049019838,0.0111732907088036,0.00131922247852745,0.785467066783348
ENSG00000131669,0.317829457364341,0.658914728682171,0.0232558139534884,73.53,24.64,0.701730863528846,0.0111732907088036,0.0175616526164388,0.88623289293517
ENSG00000135740,0.224806201550388,0.658914728682171,0.116279069767442,55.77,38.45,0.845965656852971,0.0111732907088036,0.11884114050091,0.745434154789233
ENSG00000143409,0.294573643410853,0.658914728682171,0.0465116279069767,63.23,20.61,0.742754128845431,0.0111732907088036,0.0582287485029331,0.914066029610392
ENSG00000172613,0.255813953488372,0.658914728682171,0.0852713178294574,51.85,31.66,0.803996589128952,0.0111732907088036,0.16443741346439,0.823532505790712
ENSG00000174165,0.263565891472868,0.658914728682171,0.0775193798449613,54.36,36.8,0.792509303849266,0.0111732907088036,0.134088127744235,0.765924492022507
ENSG00000174837,0.224806201550388,0.658914728682171,0.116279069767442,63.16,37.38,0.845965656852971,0.0111732907088036,0.0586547008146179,0.758827728745838
