gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000159363,0.339416058394161,0.598540145985402,0.0620437956204379,114.91,53.45,0.573913720996631,0.0415133254146767,0.141503709103987,0.733647453368922
ENSG00000161835,0.186131386861314,0.598540145985402,0.215328467153285,173.99,45.56,0.889562492802469,0.0415133254146767,0.00345491966818534,0.792662121581827
ENSG00000171045,0.266423357664234,0.598540145985402,0.135036496350365,71.6,37.24,0.751926615904784,0.0415133254146767,0.547576805208557,0.845650934494126
ENSG00000007541,0.273722627737226,0.594890510948905,0.131386861313869,78.44,43.35,0.736026560838539,0.0440144748144463,0.47253823904142,0.807691140435343
ENSG00000010626,0.31021897810219,0.594890510948905,0.0948905109489051,86.82,48.39,0.649523479647857,0.0440144748144463,0.382184670784434,0.772436180684205
ENSG00000051009,0.273722627737226,0.594890510948905,0.131386861313869,88.04,43.84,0.736026560838539,0.0440144748144463,0.369432283633813,0.804417705407302
ENSG00000090674,0.31021897810219,0.594890510948905,0.0948905109489051,110.64,56.21,0.649523479647857,0.0440144748144463,0.169547374545201,0.711162697056083
ENSG00000131061,0.277372262773723,0.594890510948905,0.127737226277372,81.21,49.54,0.727886148435183,0.0440144748144463,0.442276297169711,0.763910010202934
ENSG00000149930,0.277372262773723,0.594890510948905,0.127737226277372,81.79,38.07,0.727886148435183,0.0440144748144463,0.435976347205314,0.84080690500938
ENSG00000150967,0.277372262773723,0.594890510948905,0.127737226277372,125.56,57.4,0.727886148435183,0.0440144748144463,0.0858157275246287,0.701199986913651
ENSG00000159314,0.277372262773723,0.594890510948905,0.127737226277372,126.62,51.19,0.727886148435183,0.0440144748144463,0.0813298651514791,0.751375320867514
ENSG00000184922,0.284671532846715,0.594890510948905,0.12043795620438,140.54,51.09,0.711239887281605,0.0440144748144463,0.0375659543000404,0.752144957850347
ENSG00000186868,0.233576642335766,0.594890510948905,0.171532846715329,151.88,57.65,0.816727252964411,0.0440144748144463,0.018216608525585,0.699087291955998
ENSG00000058453,0.259124087591241,0.591240875912409,0.14963503649635,107.84,32.77,0.767300875815713,0.0466357482343157,0.189749605964303,0.870049707522308
